Content,Video title,Video publish time,Duration,Engaged views,Average view duration,Average percentage viewed (%),Stayed to watch (%),Unique viewers,Unique reach,Average views per viewer,New viewers,Returning viewers,Casual viewers,Regular viewers,Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs. dislikes) (%),Shares,Comments added,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,51415,0:01:34,22.56,50.7,0,16236,0,0,0,0,0,539,128,1709,128,93.03,335,92,99692,1372.3646,411,244436,3.91
NSyNFcZRu_M,Paying Utilities is 100% a waste of Your Money,"Sep 10, 2025",17,3303,0:00:20,118.1,67.34,,6,,,,,,2,0,18,8,69.23,3,4,7624,19.1536,2,460,5.87
EZscFWFeKgs,Prospect Caught in Lie,"Aug 20, 2025",26,2385,0:00:20,78.73,76.15,,5,,,,,,0,0,10,2,83.33,0,0,4003,13.9238,0,348,6.03
wnOdNP9VCa8,POV: you do anything for the sale #sales #salestips #business #money #work #books #passion #salesman,"Jun 6, 2026",30,2030,0:00:21,71.77,62.89,,2860,,,,,,1,0,21,2,91.3,0,1,3853,12.7391,1,241,4.15
AFYWV-I7y28,Why people HATE sales jobs,"Oct 15, 2024",45,1245,0:00:42,93.49,85.64,,408,,,,,,3,0,58,3,95.08,1,3,1914,14.6282,3,7481,9.65
hNUCZ3k_IFg,100M Offers by Alex Hormozi: Best Takeaways #booksummary #selfhelp #alexhormozi #nicknascimento,"Dec 17, 2022",47,962,0:00:40,86.48,75.83,,369,,,,,,1,0,32,0,100,2,0,1635,10.9807,1,23773,1.85
ynxYRoW1t_4,He who needs the least has the most influence. #salestips #sales #work #business #money,"Apr 24, 2026",39,943,0:00:23,59.65,63.61,,1353,,,,,,1,0,21,1,95.45,2,0,1547,6.3287,1,420,4.76
nEUjDW8h8J4,Are you drowning..? #business #money #sales #salestips #work #books #salesman #passion,"May 23, 2026",45,835,0:00:21,48.2,49.97,,1445,,,,,,0,0,34,1,97.14,1,0,1668,5.3448,0,155,1.94
76gdgipJpyk,Why Solar Makes Sense,"Aug 29, 2025",20,745,0:00:25,125.57,57.83,,27,,,,,,1,0,27,4,87.1,3,0,1620,5.4493,1,1170,8.46
YxAHDGA9n3c,You sell to the degree that you are sold #business #sales #salestips #money #passion #work #salesman,"Feb 27, 2026",37,735,0:00:33,90.04,56.73,,4,,,,,,1,0,18,2,90,7,1,1438,7.0224,1,289,4.5
5fEVDhOiN8U,Most reps fold,"Sep 18, 2025",35,687,0:00:17,50.03,55.85,,4,,,,,,0,0,12,3,80,0,1,1291,3.5668,0,433,4.39
eDcrH2eTiC8,The Higher Game of Sales: Faith Builds Fortunes w Jake Robles,"Sep 29, 2025",2609,681,0:09:10,21.1,,,30,,,,,,38,3,27,1,96.43,22,1,681,104.1125,35,5371,6.42
cBlm882fNz4,What the TOP 1% of Solar Salespeople Do Differently,"Sep 29, 2025",1930,673,0:10:18,32.03,,,208,,,,,,26,0,47,1,97.92,25,6,673,115.5741,26,5289,7.92
